territoire;statut;cout_moyen_de_production_eur_mwh
Corse;Validé;196.76
Guyane;Validé;313.83
Martinique;Validé;298.79
Guadeloupe;Validé;191.0
Réunion;Validé;152.98
Martinique;Validé;295.81
Corse;Validé;207.4
Guadeloupe;Validé;187.9
Réunion;Validé;141.7
Guyane;Validé;320.26
Martinique;Validé;288.52
Corse;Validé;204.32
Guadeloupe;Validé;187.15
Guyane;Validé;303.07
Réunion;Validé;141.83
Guyane;Validé;307.93
Martinique;Validé;281.67
Corse;Validé;198.6
Guadeloupe;Validé;187.06
Réunion;Validé;146.68
Corse;Validé;203.04
Guyane;Validé;316.24
Guadeloupe;Validé;187.45
Réunion;Validé;154.58
Martinique;Validé;281.7
Corse;Validé;200.88
Guyane;Validé;315.35
Guadeloupe;Validé;187.67
Martinique;Validé;281.73
Réunion;Validé;154.97
Guadeloupe;Validé;188.02
Réunion;Validé;157.6
Martinique;Validé;281.76
Guyane;Validé;323.66
Corse;Validé;195.4
Martinique;Validé;286.95
Corse;Validé;197.05
Guadeloupe;Validé;199.83
Réunion;Validé;167.82
Guyane;Validé;334.61
Guyane;Validé;337.68
Martinique;Validé;297.11
Réunion;Validé;179.2
Corse;Validé;198.72
Guadeloupe;Validé;213.48
Guadeloupe;Validé;229.97
Réunion;Validé;202.84
Corse;Validé;205.59
Guyane;Validé;341.81
Martinique;Validé;300.42
Corse;Validé;213.62
Guadeloupe;Validé;241.83
Réunion;Validé;221.2
Martinique;Validé;302.82
Guyane;Validé;346.28
Corse;Validé;204.08
Guadeloupe;Validé;245.16
Réunion;Validé;229.73
Guyane;Validé;359.63
Martinique;Validé;301.72
Corse;Validé;201.08
Réunion;Validé;244.93
Guyane;Validé;364.84
Guadeloupe;Validé;246.2
Martinique;Validé;303.94
Corse;Validé;204.12
Guadeloupe;Validé;245.73
Martinique;Validé;303.03
Réunion;Validé;231.62
Guyane;Validé;349.09
Guyane;Validé;345.04
Martinique;Validé;297.36
Corse;Validé;210.54
Guadeloupe;Validé;239.82
Réunion;Validé;233.62
Réunion;Validé;219.34
Guyane;Validé;345.2
Corse;Validé;202.25
Martinique;Validé;294.71
Guadeloupe;Validé;226.59
Martinique;Validé;288.58
Corse;Validé;195.67
Guadeloupe;Validé;204.31
Réunion;Validé;188.73
Guyane;Validé;345.52
Réunion;Validé;168.73
Martinique;Validé;283.62
Corse;Validé;199.89
Guadeloupe;Validé;189.67
Guyane;Validé;336.72
Corse;Validé;200.53
Martinique;Validé;282.03
Réunion;Validé;150.05
Guadeloupe;Validé;192.68
Guyane;Validé;340.42
Réunion;Validé;157.59
Guyane;Validé;357.21
Guadeloupe;Validé;193.43
Corse;Validé;194.56
Martinique;Validé;281.76
